bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
75;50;50Hertz;Umspannwerk_Klostermansfeld;;substation;380.0;380000;110000;SRID=4326;POINT(11.5165549672107_51.5843592098734);115.165.549.672;515.843.592.099;;
76;;TenneT;Umspannwerk_Elsen;;substation;380.0;380000;110000;SRID=4326;POINT(8.70221844882815_51.7363525828065);870.221.844.883;517.363.525.828;;
77;50;Eon_Netz;Umspannwerk_Twistetal;;substation;380.0;380000;110000;SRID=4326;POINT(8.99279240395088_51.343009397907);899.279.240.395;513.430.093.979;;
78;50;50Hertz_Transmission_GmbH;Umspannwerk_Remptendorf;;substation;380.0;380000;220000;SRID=4326;POINT(11.6463786274424_50.534876971042);116.463.786.274;50.534.876.971;;
79;50;50Hertz_Transmission;enviaMGraustein;;substation;380.0;380000;110000;SRID=4326;POINT(14.4719654742998_51.5538127185923);144.719.654.743;515.538.127.186;;
80;50;50Hertz;Umspannwerk_Baerwalde;;substation;380.0;380000;;SRID=4326;POINT(14.5081091811329_51.4137103812427);145.081.091.811;514.137.103.812;;
81;50;50Hertz;Umspannwerk_Preilack;PRL;substation;380.0;380000;110000;SRID=4326;POINT(14.4281804852225_51.8888641394403);144.281.804.852;518.888.641.394;;
82;;EON_Netz;EON_Kraftwerk_Wilhelmshaven;;plant;220.0;;;SRID=4326;POINT(8.14191382633093_53.5640011680095);814.191.382.633;53.564.001.168;;
83;50;EON_Netz;TenneTKiel-Sued;;substation;220.0;220000;110000;SRID=4326;POINT(10.1562824575947_54.2755482549913);101.562.824.576;54.275.548.255;;
84;;E.ON_Kraftwerke_GmbH;Stadtwerke_Kiel_AGGemeinschaftskraftwerk_Kiel;;generator;220.0;;;SRID=4326;POINT(10.1773541034729_54.3395212638642);101.773.541.035;543.395.212.639;;
85;;RWE;Station_Gronau;;substation;380.0;380000;220000;SRID=4326;POINT(7.03496796515083_52.2028607381056);703.496.796.515;522.028.607.381;;
86;50;Amprion;Hanekenfaehr;;substation;380.0;380000;220000;SRID=4326;POINT(7.30820430094578_52.4768353862806);730.820.430.095;524.768.353.863;;
